"blockNum","color","hit","initrt","intervalLength","intervalNum","intervalType","moneyEarned","phase","platform","question","rating","response","rt","sessionNum","stimOn","trialNum","type","uniqueid","word"
1,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",560,0,1606145951455,1,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"yellow",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",613,0,1606145952018,2,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
1,"green",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",406,0,1606145952633,3,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
1,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",485,0,1606145953042,4,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
1,"green",0,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",862,0,1606145953529,5,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"yellow",0,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",741,0,1606145954394,6,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
1,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",606,0,1606145955137,7,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"red",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",837,0,1606145955746,8,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
1,"green",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",517,0,1606145956586,9,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
1,"blue",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",721,0,1606145957106,10,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"yellow",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",578,0,1606145957829,11,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
1,"green",1,NA,8000,1,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",862,0,1606145958409,12,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"",NA,NA,8000,1,"hard",0.02,"MainBlock","PROLIFIC",0,9,"",NA,0,NA,NA,"","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122",""
1,"blue",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",672,0,1606145968119,1,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"yellow",0,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",1014,0,1606145968793,2,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
1,"blue",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",734,0,1606145969809,3,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
1,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",782,0,1606145970545,4,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"green",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",582,0,1606145971329,5,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
1,"yellow",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"yellow",646,0,1606145971913,6,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
1,"green",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",502,0,1606145972561,7,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
1,"red",0,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",470,0,1606145973065,8,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"blue",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"blue",558,0,1606145973537,9,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
1,"green",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",534,0,1606145974097,10,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
1,"red",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"red",830,0,1606145974633,11,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","BLUE"
1,"green",1,NA,8000,2,"hard",0,"MainBlock","PROLIFIC",NA,NA,"green",606,0,1606145975465,12,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
1,"",NA,NA,8000,2,"hard",0.02,"MainBlock","PROLIFIC",1,5.9,"",NA,0,NA,NA,"","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122",""
2,"green",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"green",1212,0,1606145991163,1,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","GREEN"
2,"blue",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"blue",750,0,1606145992377,2,"incongruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","YELLOW"
2,"red",1,NA,8000,1,"easy",0,"MainBlock","PROLIFIC",NA,NA,"red",598,0,1606145993129,3,"congruent","5ee7c8493d520b093cd0e45d:TSS-Stress_20201122","RED"
